,player_id,player_name,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,fantasy_points,fantasy_points_ppr,pacr,racr,target_share,air_yards_share,wopr_x,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
243,00-0033094,M.Hall,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,0.0,0.0,-0.5210318375611678,0,18,32,302.0,2,0.0,0.0,549.0,58.0,10.0,17.016946673218627,0,0.0,42.300000000000004,60.300000000000004,0.0,0.0,0.0,0.0,0.0,11,0.07582938388625593,0.16142311084975008,0.042994810971089696,0.24288256450918397,0.10117252931323283,0.11764705882352941,0.0684931506849315,0.0736196319018405,0.10940979406838111,0.10446743521529214,0.7156398104265402,0.06068229848042669
244,00-0033106,J.Goff,2020,REG,370,552,3952.0,20,13.0,23.0,161.0,5,3,3579.0,2152.0,194.0,24.835128813723873,1,1.6021434950383049,51,99.0,4,2.0,1.0,12.0,-6.068835537589621,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,239.98000000000002,239.98000000000002,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17268723734960567
245,00-0033110,T.Higbee,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,0.0,0.0,-0.6880421272944659,0,44,60,521.0,5,0.0,0.0,479.0,238.0,27.0,34.21358825880452,1,0.0,84.2,128.2,0.0,0.0,0.0,0.0,0.0,15,0.10771992818671454,0.13055328427364404,0.112,0.26602251969898705,0.13146606106484987,0.2777777777777778,0.13917525773195877,0.1509433962264151,0.20462191942131383,0.16072840440743547,0.9353680430879713,0.09445778871516776
246,00-0033111,P.Cooper,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,8,73.0,0,0.0,0.0,79.0,35.0,3.0,2.664461337553803,0,0.0,7.300000000000001,12.299999999999999,0.0,0.0,0.0,0.0,0.0,5,0.045454545454545456,0.05323450134770889,0.05912162162162162,0.11076941925998529,0.05521936459909228,0.0,0.05084745762711865,0.04838709677419355,0.02760968229954614,0.04417549167927383,0.4147727272727273,0.0299139063184007
247,00-0033112,T.Hemingway,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,2,10.0,0,0.0,0.0,7.0,6.0,1.0,-0.021645617904141545,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2,0.03636363636363636,0.020833333333333332,0.03488372093023256,0.07121212121212121,0.03278688524590164,0.0,0.07692307692307693,0.06666666666666667,0.01639344262295082,0.026229508196721315,0.18181818181818182,0.01511715797430083
248,00-0033114,M.Thomas,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,1.0,0,0.0,0.0,0.0,-0.44267870765179396,0,13,21,132.0,1,1.0,1.0,181.0,28.0,7.0,-6.572233258571941,0,0.0,17.299999999999997,30.299999999999997,0.0,0.0,0.0,0.0,0.0,10,0.05121951219512195,0.05375705375705376,0.020958083832335328,0.11983491129832594,0.046397188049209136,0.07692307692307693,0.04516129032258064,0.047619047619047616,0.061660132486143035,0.0525023658239827,0.32195121951219513,0.03228900255754476
249,00-0033118,K.Drake,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,239,955.0,10,3.0,1.0,59.0,-7.2997954725595475,0,25,31,137.0,0,0.0,0.0,-30.0,165.0,5.0,-1.9532168329960262,0,0.0,167.2,192.2,0.0,0.0,0.0,0.0,0.0,15,0.056466302367941715,-0.007125890736342043,0.0908590308370044,0.07899874096283895,0.03587326525268395,0.0,0.02577319587628866,0.022935779816513763,0.017936632626341976,0.028698612202147162,0.2495446265938069,0.13416541017479194
250,00-0033119,J.Brissett,2020,REG,2,8,17.0,0,0.0,2.0,15.0,0,0,65.0,18.0,1.0,-8.438660981715657,0,0.0,17,19.0,3,0.0,0.0,9.0,5.7174701610242185,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20.580000000000002,20.580000000000002,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019388754899005125
251,00-0033127,W.Fuller,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0,0.0,0.0,0.0,-0.8607696234248579,0,53,75,879.0,8,0.0,0.0,940.0,291.0,38.0,58.20421300592352,0,0.0,135.9,188.9,0.0,0.0,0.0,0.0,0.0,11,0.20604395604395603,0.2934748673118951,0.2113289760348584,0.5438458279154501,0.274601686972821,0.3333333333333333,0.2550335570469799,0.2658959537572254,0.30396751015307716,0.28634801624492345,2.4148351648351647,0.17948766675534947
252,00-0033164,T.Pope,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,15,76.0,0,0.0,0.0,3.0,0.7231635025236756,0,8,10,42.0,0,0.0,0.0,-16.0,44.0,1.0,-3.465752595707694,0,0.0,11.799999999999999,19.8,0.0,0.0,0.0,0.0,0.0,4,0.05291005291005291,-0.012130401819560273,0.06676783004552352,0.06966075790943115,0.032036613272311214,0.0,0.015384615384615385,0.013333333333333334,0.016018306636155607,0.025629290617848972,0.2222222222222222,0.04234931770543697
253,00-0033215,C.Grayson,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0,0.0,0.0,71.0,0.0,0.0,-3.083427003817633,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.047619047619047616,0.15268817204301074,0.0,0.19357910906298004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,00-0033217,M.Alie-Cox,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,31,39,394.0,2,1.0,1.0,264.0,182.0,19.0,12.752992913912749,0,0.0,49.400000000000006,80.4,0.0,0.0,0.0,0.0,0.0,14,0.08108108108108109,0.07643312101910828,0.09295199182839632,0.18276811843690827,0.107915639550808,0.1,0.10919540229885058,0.10824742268041238,0.103957819775404,0.10633251164064642,0.8191268191268192,0.06201119903743811
255,00-0033246,J.Mundt,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,4,4,53.0,0,0.0,0.0,8.0,45.0,1.0,2.884577311342582,0,0.0,5.300000000000001,9.3,0.0,0.0,0.0,0.0,0.0,2,0.06153846153846154,0.017241379310344827,0.18907563025210083,0.10610079575596817,0.1261904761904762,0.0,0.05,0.043478260869565216,0.0630952380952381,0.10095238095238096,0.8153846153846154,0.05582232893157263
256,00-0033251,Z.Pascal,2020,REG,0,1,0.0,0,0.0,0.0,0.0,0,0,13.0,0.0,0.0,-0.5561131672002375,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,44,71,629.0,5,0.0,0.0,772.0,233.0,29.0,22.625771391950835,0,0.0,92.9,136.9,0.0,0.0,0.0,0.0,0.0,16,0.1286231884057971,0.1949002777076496,0.1036016007114273,0.3488550047748153,0.1502627806975633,0.20833333333333334,0.14427860696517414,0.1511111111111111,0.17929805701544832,0.16187689122471732,1.1394927536231885,0.09086444007858546
257,00-0033258,D.Daniels,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,8,11,92.0,1,0.0,0.0,67.0,57.0,4.0,7.233810689242091,0,0.0,15.2,23.2,0.0,0.0,0.0,0.0,0.0,8,0.03728813559322034,0.025121859767529058,0.05666003976143141,0.07602969120385376,0.03761242845461979,0.06666666666666667,0.034782608695652174,0.038461538461538464,0.05213954756064323,0.043423276097029166,0.31186440677966104,0.02681646901079594
258,00-0033266,J.Natson,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,3.0,0,0.0,0.0,0.0,-0.18112432456109673,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.30000000000000004,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035030359645025692
259,00-0033275,P.Walker,2020,REG,32,56,368.0,1,5.0,4.0,31.0,0,0,583.0,141.0,17.0,-22.446498510842197,0,0.0314537355910209,5,-2.0,0,1.0,0.0,0.0,-2.3987978287623264,0,0,1,0.0,0,0.0,0.0,6.0,0.0,0.0,-0.40847092552576214,0,0.0,8.520000000000001,8.520000000000001,0.0,0.0,0.0,0.0,0.0,4,0.007874015748031496,0.005203816131830009,0.0,0.01597407652751125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02999577524292354
260,00-0033280,C.McCaffrey,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,59,225.0,5,0.0,0.0,14.0,3.9336316284382966,0,17,19,149.0,1,0.0,0.0,27.0,123.0,8.0,8.911715284571983,0,0.0,73.4,90.4,0.0,0.0,0.0,0.0,0.0,3,0.15079365079365079,0.03110599078341014,0.2536082474226804,0.25107526881720427,0.15297741273100615,0.3333333333333333,0.16326530612244897,0.17307692307692307,0.24315537303216972,0.18904859685147157,1.1825396825396826,0.2804318153617074
261,00-0033282,C.Samuel,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,41,200.0,2,0.0,0.0,10.0,-3.5604165961558465,0,77,97,851.0,3,1.0,0.0,711.0,320.0,39.0,37.8368617747563,0,0.0,135.1,212.1,0.0,0.0,0.0,0.0,0.0,15,0.18618042226487524,0.18429237947122862,0.16359918200409,0.4267045369742958,0.21748019422438028,0.1875,0.21195652173913043,0.21,0.20249009711219013,0.21148415537950424,1.6333973128598849,0.16240180089125741
262,00-0033288,G.Kittle,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,2,17.0,0,0.0,0.0,1.0,1.2501941807568073,0,48,63,634.0,2,0.0,0.0,460.0,297.0,32.0,36.840613896641464,0,0.0,77.10000000000001,125.1,0.0,0.0,0.0,0.0,0.0,8,0.23247232472324722,0.25219298245614036,0.25736568457538994,0.5504628730497831,0.3033492822966507,0.15384615384615385,0.2962962962962963,0.2809917355371901,0.22859771807140228,0.2734486566065514,2.339483394833948,0.16837146702557199
263,00-0033292,T.Taylor,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,10,21,86.0,0,0.0,0.0,117.0,43.0,5.0,-12.918861228424461,0,0.0,8.6,18.6,0.0,0.0,0.0,0.0,0.0,7,0.084,0.07514450867052024,0.03808680248007086,0.18611560693641618,0.042511122095897184,0.0,0.04950495049504951,0.04424778761061947,0.021255561047948592,0.03400889767671775,0.344,0.02674258109040718
264,00-0033293,A.Jones,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,201,1104.0,9,1.0,0.0,52.0,14.43580965095316,0,47,63,355.0,2,1.0,0.0,77.0,365.0,15.0,5.729756304813076,0,0.0,211.9,258.90000000000003,0.0,0.0,0.0,0.0,0.0,14,0.13968957871396895,0.021580717488789238,0.18660531697341512,0.22679894206198484,0.0953020134228188,0.04878048780487805,0.08152173913043478,0.07555555555555556,0.07204125061384842,0.08599770829923065,0.7871396895787139,0.1702393477117307
